title_cleaned,county,county_fips,state,grouped_company,grouped_source_jt,job_posting_count,label
account manager advisor,San Bernardino County,6071,CA,Southern California Edison (SCE),Account Manager Advisor,2,interconnection reference
accountant,Silver Bow County,30093,MT,NorthWestern Energy,Accountant,3,interconnection reference
accountant lead miscellaneous receivables,Orleans Parish,22071,LA,Entergy,Accountant Lead Miscellaneous Receivables,1,interconnection reference
accountant miscellaneous receivables,Orleans Parish,22071,LA,Entergy,Accountant Miscellaneous Receivables,1,interconnection reference
analyst renewable programs,Hampshire County,25015,MA,Eversource Energy,Analyst Renewable Programs,1,interconnection reference
analyst water planning,Maricopa County,4013,AZ,Salt River Project,Analyst Water Planning,1,interconnection reference
applications support engineer analyst,Fulton County,13121,GA,Georgia Power Company,Applications Support Engineer Analyst,1,interconnection engineer
area reliability engineer,Clarke County,13059,GA,Southern Company,Area Reliability Engineer,1,interconnection engineer
area reliability engineer,Lowndes County,13185,GA,Southern Company,Area Reliability Engineer,1,interconnection engineer
assistant director electric utility,Franklin County,42055,PA,Borough of Chambersburg,Assistant Director of Electric Utility,3,interconnection reference
assistant general counsel,Knox County,47093,TN,Tennessee Valley Authority,Assistant General Counsel,1,interconnection reference
assistant general counsel,Multnomah County,41051,OR,PacifiCorp,Assistant General Counsel,9,interconnection reference
assistant general counsel power and transmission,Westchester County,36119,NY,New York Power Authority,Assistant General Counsel Power and Transmission,2,interconnection reference
assoc interconnection specialist,Warren County,34041,NJ,Exelon,Assoc Interconnection Specialist,1,interconnection reference
associate egi interconnection manager esc,Alameda County,6001,CA,Pacific Gas and Electric Company,Associate EGI Interconnection Manager ESC,1,interconnection reference
associate electric distribution operations engineer,Fresno County,6019,CA,Pacific Gas and Electric Company,Associate Electric Distribution Operations Engineer,1,interconnection engineer
associate electrical engineer power enterprise,San Francisco County,6075,CA,San Francisco Public Utilities Commission,Associate Electrical Engineer Power Enterprise,4,interconnection engineer
associate electrical engineer transmission relay,Harris County,48201,TX,CenterPoint Energy,Associate Electrical Engineer Transmission Relay,1,interconnection engineer
associate energy efficiency consultant demand management,Norfolk County,25021,MA,Eversource Energy,"Associate Energy Efficiency Consultant, Demand Management (Hybrid)",1,interconnection reference
associate engineer,Wayne County,26163,MI,DTE Energy,Engineer Associate,1,interconnection engineer
associate engineer a,Rockland County,36087,NY,"Orange and Rockland Utilities, Inc.",Associate Engineer A,1,interconnection engineer
associate engineer distributed energy resource der planning,Hampshire County,25015,MA,Eversource Energy,Associate Engineer – Distributed Energy Resource (DER) Planning (Hybrid),1,interconnection engineer
associate engineer distribution planning asset management,Albany County,36001,NY,National Grid,Graduate Development Program Associate Engineer Distribution Planning and Asset Management,2,interconnection engineer
associate engineer electrical planning and design,Erie County,36029,NY,National Grid,Associate Engineer Electrical Planning and Design,3,interconnection engineer
associate engineer electrical planning and design,Onondaga County,36067,NY,National Grid,Associate Engineer Electrical Planning and Design; Graduate Development Program Associate Engineer Electrical Planning and Design,7,interconnection engineer
associate engineer electrical planning and design,Onondaga County,36067,NY,National Grid,Associate Engineer Electrical Planning and Design,7,interconnection engineer
